configuration_kind,split,operating_point_id,operating_point_digest,plateau_epsilon,maximum_primary_plateau_width_frames,secondary_exclusion_radius_frames,minimum_primary_abs_correlation,minimum_accepted_peak_ratio,sync_rms_floor_linear_fs,minimum_overlap_frames,case_count,false_valid,wrong_lag_valid,ambiguous_as_valid,invalid_as_valid,false_ambiguous,false_invalid,correct_unique,correct_ambiguous,correct_invalid
OFAT,calibration,OFAT-reference,f2ffe072c6811a70f0922fc47c28cbc0c2b9ce1b3d31c5ec4197209ac9f3eccb,1e-05,2,4,0.5,1.1,1e-05,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-plateau_epsilon-0,b68f77f4806373a4d7bc9c0aa37aedb5e9f714413f7b4185ce1d2ee4bf50c517,0.0,2,4,0.5,1.1,1e-05,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-plateau_epsilon-1,0673bbe5ed56160219e74e150149eb3ab3f0b377d5c024d447391c64c8094129,1e-06,2,4,0.5,1.1,1e-05,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-plateau_epsilon-3,513fa6299d79914a3f11fcce24f903fdc3313ee9db6d9da112f504f025870cd2,0.001,2,4,0.5,1.1,1e-05,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-maximum_primary_plateau_width_frames-0,ee9b2f6eba77d8273ba17073f067796de7a3dd0e5442bb59fa7e3dff64f8c249,1e-05,1,4,0.5,1.1,1e-05,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-maximum_primary_plateau_width_frames-2,2c0a272ff9e9b23ccc4d9178304b1a7dede1ad2ed9bc15d1917899c279d66e24,1e-05,4,4,0.5,1.1,1e-05,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-maximum_primary_plateau_width_frames-3,5af36d0196753f6902ba74a0024d743f56e79b275ac85b833b5fb530188c9ab0,1e-05,8,4,0.5,1.1,1e-05,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-secondary_exclusion_radius_frames-0,b42bb2ee7a703830ea9c45941ad859fc0c4e309a62519ef6cf755a7f566dd4de,1e-05,2,0,0.5,1.1,1e-05,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-secondary_exclusion_radius_frames-1,fbaa84f26e3d63f2008e4500cf659dafad73abe54c33af30ee18370287d753e6,1e-05,2,2,0.5,1.1,1e-05,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-secondary_exclusion_radius_frames-3,bbea9bd404b8134fd9cf956969c02a76520b1fdef98621e7ca73e7c51ac0adec,1e-05,2,8,0.5,1.1,1e-05,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-secondary_exclusion_radius_frames-4,d6b1cefa2afa0c50cbcc116a0903cc5322ddf67604f315cd4a7e72859940510a,1e-05,2,16,0.5,1.1,1e-05,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-minimum_primary_abs_correlation-0,701238341e675ecd29078d7d2e0250c2d6f159b9560d9b881179648ea4eae29e,1e-05,2,4,0.35,1.1,1e-05,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-minimum_primary_abs_correlation-2,4d538525d97f6d807307f25fc82f9d11538e38e571ac99f2808b9ef92abc0761,1e-05,2,4,0.7,1.1,1e-05,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-minimum_primary_abs_correlation-3,1295b783d70d6e070ec9b0d84bc3f675ca879283b37c9ccf1fd543d079b09644,1e-05,2,4,0.9,1.1,1e-05,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-minimum_accepted_peak_ratio-0,bc89de49579021ab8bf3df1d4aca795ea50c2f2dc4030f81332e64abdf3333b5,1e-05,2,4,0.5,1.0,1e-05,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-minimum_accepted_peak_ratio-1,02d5890688f610cebbd323071412ab7fdb0787d5cb3e3df38c81b87ac113017c,1e-05,2,4,0.5,1.05,1e-05,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-minimum_accepted_peak_ratio-3,4e79e2dffd01364a944dceb6d9f78143a950931f92f73058833e89a651cf4cb3,1e-05,2,4,0.5,1.25,1e-05,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-sync_rms_floor_linear_fs-0,5a91feca90697855cb29ac913ef0eb0edd735f1ca3734950f0c27dca5b859b63,1e-05,2,4,0.5,1.1,0.0,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-sync_rms_floor_linear_fs-1,d0c05ff5b284913f617f5913509ec93219058f5b5463208159f8de56dd6ba4cf,1e-05,2,4,0.5,1.1,1e-07,64,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-sync_rms_floor_linear_fs-3,5eb191493dce00a4f33132dda44355ba79ec688e4edac1d52b4266059658e824,1e-05,2,4,0.5,1.1,0.001,64,28,0,0,0,0,0,2,17,5,4
OFAT,calibration,OFAT-minimum_overlap_frames-0,b2dcab9fb1f917663e0c93bb74f9bb213cecec461ea8fcda037da7306f451240,1e-05,2,4,0.5,1.1,1e-05,16,28,0,0,0,0,0,0,19,5,4
OFAT,calibration,OFAT-minimum_overlap_frames-1,f022237c40bb0c4ff34d93ff589a0dc2326fb0c728f111c5ea7a17009ad1cde4,1e-05,2,4,0.5,1.1,1e-05,32,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-minimum_overlap_frames-3,067950d75a2c16ddf2acf5a9179c1e60f6f0bb9944965a3aa1d97b52db36db17,1e-05,2,4,0.5,1.1,1e-05,128,28,0,0,0,0,0,1,18,5,4
OFAT,calibration,OFAT-minimum_overlap_frames-4,5e547010bda370fa7da311173eccac8f383cb399e25316e78cf1f86ccf4a33d7,1e-05,2,4,0.5,1.1,1e-05,256,28,0,0,0,0,0,1,18,5,4
frozen_candidate,calibration,OP-A-permissive,d7f759d1f5241961aadf97243cd11b33db3a6acd19c8d6aab1d475390f67e7fc,1e-06,4,2,0.35,1.05,1e-07,32,28,0,0,0,0,0,1,18,5,4
frozen_candidate,holdout,OP-A-permissive,d7f759d1f5241961aadf97243cd11b33db3a6acd19c8d6aab1d475390f67e7fc,1e-06,4,2,0.35,1.05,1e-07,32,28,1,1,0,0,0,0,14,8,5
frozen_candidate,calibration,OP-B-intermediate,04303b903773ea2f772dfe7998c53ad4916b27824ea42335ce178d1f2879db52,1e-05,2,4,0.5,1.1,1e-05,64,28,0,0,0,0,0,1,18,5,4
frozen_candidate,holdout,OP-B-intermediate,04303b903773ea2f772dfe7998c53ad4916b27824ea42335ce178d1f2879db52,1e-05,2,4,0.5,1.1,1e-05,64,28,0,0,0,0,0,1,14,8,5
frozen_candidate,calibration,OP-C-conservative,33ed091cddbfa6ff6a6c0e688eb32f3e2503557171371144c1ba462a3195ecc0,0.0001,1,8,0.7,1.25,0.001,128,28,0,0,0,0,0,2,17,5,4
frozen_candidate,holdout,OP-C-conservative,33ed091cddbfa6ff6a6c0e688eb32f3e2503557171371144c1ba462a3195ecc0,0.0001,1,8,0.7,1.25,0.001,128,28,0,0,0,0,0,2,13,8,5
